CustomerID,Gender,SeniorCitizen,Partner,Dependents,Region,InternetService,OnlineSecurity,TechSupport,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TenureMonths,MonthlyCharges,TotalCharges,AccountStartDate,AccountEndDate,Churn,ChurnProbability,ChurnReason
100017,Female,0,No,No,Bengaluru North,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,31,43.17,1323.69,2022-09-07 21:56:15,2026-01-13 00:00:00,Yes,0.87,Relocation
100018,Female,0,Yes,No,Pune,DSL,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),34,51.08,1715.11,2019-11-18 03:57:19,,No,0.786,
100019,Male,1,No,No,Hyderabad,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,6,65.73,377.2,2024-04-27 22:42:45,2026-01-13 00:00:00,Yes,0.891,Price too high
100020,Female,0,Yes,Yes,Pune,None,No,No,No,No,No,Month-to-month,Yes,Mailed check,21,19.99,425.9,2024-11-25 08:07:59,,No,0.786,
100021,Male,0,No,Yes,Hyderabad,DSL,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,46,74.67,3414.09,2021-04-12 20:15:07,,No,0.378,
100022,Female,1,Yes,No,Bengaluru North,DSL,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,25,60.51,1569.8,2022-05-30 07:13:38,2024-07-09 07:13:38,Yes,0.818,Service issues
100023,Female,0,No,No,Delhi,DSL,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,57,48.73,2773.87,2021-10-23 19:58:48,2026-01-13 00:00:00,Yes,0.87,Price too high
100024,Female,1,Yes,Yes,Mumbai,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),71,93.36,6688.85,2023-12-03 16:00:33,2025-04-22 16:00:33,Yes,0.711,Service issues
100025,Female,0,No,No,Jaipur,Fiber optic,No,No,No,No,Yes,Month-to-month,No,Electronic check,45,73.91,3311.14,2019-11-08 19:54:05,2023-04-01 19:54:05,Yes,0.881,Payment problems
100026,Female,0,Yes,No,Bengaluru North,DSL,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,4,79.06,271.93,2021-12-25 21:21:05,,No,0.599,
100027,Female,0,No,No,Mumbai,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37,73.39,2728.15,2021-07-01 00:03:29,2024-05-12 00:03:29,Yes,0.786,Relocation
100028,Female,0,No,Yes,Jaipur,DSL,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),27,58.36,1560.05,2020-02-07 08:13:17,2021-05-27 08:13:17,Yes,0.214,Service issues
100029,Female,0,Yes,Yes,Jaipur,None,No,No,No,No,No,One year,Yes,Credit card (automatic),38,23.17,859.07,2025-04-04 09:51:30,2026-01-13 00:00:00,Yes,0.525,Price too high
100030,Male,0,No,No,Kolkata,None,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),3,20.22,18.99,2023-08-28 18:23:06,2023-09-30 18:23:06,Yes,0.891,Service issues
100031,Male,0,No,No,Bengaluru North,None,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59,22.26,1305.5,2021-04-19 17:43:54,2022-03-22 17:43:54,Yes,0.802,Relocation
100032,Female,0,Yes,No,Pune,DSL,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),53,45.37,2437.08,2020-06-22 13:25:17,2024-07-28 13:25:17,Yes,0.332,Relocation
100033,Female,0,No,No,Delhi,Fiber optic,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),4,89.32,361.68,2022-01-17 12:55:17,,No,0.69,
100034,Female,0,No,No,Kolkata,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,6,47.47,281.84,2024-02-10 22:40:29,,No,0.87,
100035,Male,0,No,No,Bengaluru North,Fiber optic,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,47,77.26,3623.86,2019-11-01 07:17:37,2021-12-13 07:17:37,Yes,0.769,Payment problems
100036,Female,0,Yes,Yes,Bengaluru South,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,40,74.61,3020.57,2019-05-30 15:50:01,2021-02-07 15:50:01,Yes,0.818,Service issues
100037,Male,1,No,No,Delhi,Fiber optic,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),19,89.42,1693.74,2025-08-01 13:58:27,2026-01-13 00:00:00,Yes,0.401,Service issues
100038,Male,0,No,No,Bengaluru South,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,43,73.72,3146.63,2020-12-26 05:04:19,2024-02-07 05:04:19,Yes,0.769,Service issues
100039,Male,1,Yes,No,Hyderabad,Fiber optic,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,39,103.01,4011.32,2022-12-18 23:26:25,2024-12-18 23:26:25,Yes,0.55,Relocation
100040,Male,0,No,No,Kolkata,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64,88.48,5665.96,2025-05-13 07:28:17,2026-01-13 00:00:00,Yes,0.786,Competitor offer
100041,Male,0,Yes,No,Hyderabad,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,10,75.31,740.13,2020-12-20 13:50:07,2021-08-17 13:50:07,Yes,0.87,Competitor offer
100042,Female,0,Yes,No,Delhi,DSL,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,69.36,0.0,2025-01-03 05:27:10,2025-06-21 05:27:10,Yes,0.802,Competitor offer
100043,Female,0,No,Yes,Ahmedabad,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),53,67.63,3576.86,2020-09-02 10:12:30,2025-04-25 10:12:30,Yes,0.786,Price too high
100044,Female,0,No,Yes,Bengaluru North,None,No,No,No,No,No,Month-to-month,Yes,Electronic check,49,22.73,1130.1,2020-09-24 07:24:51,2022-12-30 07:24:51,Yes,0.87,Competitor offer
100045,Female,0,No,Yes,Mumbai,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,71,75.32,5334.52,2024-11-02 01:46:07,2026-01-13 00:00:00,Yes,0.769,Relocation
100046,Female,0,Yes,Yes,Delhi,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),60,97.54,5839.39,2023-09-06 01:59:58,,No,0.646,
100047,Male,0,Yes,No,Bengaluru North,None,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),62,18.65,1177.98,2020-05-24 17:39:57,2021-04-02 17:39:57,Yes,0.786,Payment problems
100048,Female,0,Yes,Yes,Bengaluru North,Fiber optic,Yes,Yes,No,No,Yes,One year,No,Electronic check,34,98.34,3362.36,2019-06-06 19:56:28,2021-10-31 19:56:28,Yes,0.525,Competitor offer
100049,Female,0,No,No,Delhi,None,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23,23.28,527.37,2025-07-02 21:49:57,,No,0.802,
100050,Male,0,No,No,Jaipur,DSL,No,Yes,No,Yes,Yes,One year,No,Mailed check,2,67.5,123.16,2020-07-05 04:58:15,2021-12-06 04:58:15,Yes,0.574,Service issues
100051,Female,0,No,No,Ahmedabad,Fiber optic,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),39,78.84,3036.49,2022-11-08 18:59:44,,No,0.354,
100052,Male,0,Yes,No,Delhi,DSL,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),9,70.71,641.39,2023-07-20 22:33:29,,No,0.13,
100053,Female,0,No,Yes,Bengaluru North,Fiber optic,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,34,89.3,3027.36,2025-08-06 10:09:22,2026-01-13 00:00:00,Yes,0.858,Service issues
100054,Male,0,No,No,Bengaluru South,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49,51.16,2552.53,2022-03-05 04:37:13,2024-08-31 04:37:13,Yes,0.646,Relocation
100055,Female,0,No,Yes,Delhi,DSL,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,40,69.94,2813.47,2024-05-13 14:55:23,2026-01-13 00:00:00,Yes,0.13,Relocation
100056,Female,0,Yes,No,Bengaluru South,DSL,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35,62.14,2203.52,2024-01-01 15:21:58,2026-01-13 00:00:00,Yes,0.769,Payment problems
100057,Male,0,No,Yes,Bengaluru North,DSL,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44,58.6,2555.04,2025-01-01 17:08:55,2026-01-13 00:00:00,Yes,0.69,Service issues
100058,Male,0,Yes,No,Hyderabad,DSL,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41,47.48,1956.3,2022-06-04 18:08:36,2026-01-13 00:00:00,Yes,0.786,Price too high
100059,Male,0,Yes,Yes,Chennai,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),13,85.49,1112.53,2023-12-28 03:54:56,,No,0.646,
100060,Male,1,Yes,Yes,Mumbai,DSL,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),23,62.41,1422.19,2020-09-26 13:26:41,,No,0.289,
100061,Male,1,Yes,No,Kolkata,Fiber optic,No,No,No,No,No,Month-to-month,Yes,Electronic check,48,70.34,3366.51,2022-01-14 21:44:13,,No,0.891,
100062,Male,0,Yes,No,Kolkata,DSL,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,8,53.7,379.33,2023-02-12 15:29:10,2025-09-21 15:29:10,Yes,0.802,Price too high
100063,Male,0,Yes,Yes,Pune,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),44,79.36,3522.0,2020-05-27 05:34:00,,No,0.525,
100064,Male,0,Yes,No,Bengaluru North,None,No,No,No,No,No,Two year,Yes,Electronic check,70,23.28,1587.33,2024-09-25 07:54:04,,No,0.475,
100065,Female,0,No,Yes,Ahmedabad,Fiber optic,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),63,72.17,4549.14,2022-08-04 05:35:21,2026-01-13 00:00:00,Yes,0.711,Competitor offer
100066,Female,0,Yes,Yes,Hyderabad,Fiber optic,No,No,Yes,No,Yes,One year,Yes,Electronic check,41,72.97,3007.71,2021-12-01 21:20:48,2024-07-30 21:20:48,Yes,0.668,Competitor offer
100067,Male,0,No,No,Bengaluru South,Fiber optic,No,No,Yes,No,Yes,One year,No,Electronic check,42,74.77,3171.61,2023-10-18 00:36:19,2026-01-13 00:00:00,Yes,0.69,Price too high
100068,Female,1,Yes,No,Chennai,DSL,No,Yes,No,No,Yes,Two year,Yes,Electronic check,34,62.96,2182.02,2024-01-18 01:40:06,,No,0.354,
100069,Female,0,No,No,Delhi,DSL,No,No,Yes,Yes,No,One year,Yes,Electronic check,53,54.57,2908.49,2025-11-01 06:48:46,2026-01-13 00:00:00,Yes,0.668,Competitor offer
100070,Female,0,No,Yes,Chennai,Fiber optic,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),47,77.06,3630.3,2025-02-03 09:05:11,2026-01-13 00:00:00,Yes,0.646,Price too high
100071,Female,0,Yes,Yes,Delhi,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,49,82.63,4087.84,2023-06-22 09:56:23,2023-11-13 09:56:23,Yes,0.858,Relocation
100072,Male,0,No,No,Delhi,None,No,No,No,No,No,One year,No,Electronic check,54,24.29,1301.45,2025-01-23 20:14:35,,No,0.69,
100073,Female,0,Yes,Yes,Hyderabad,DSL,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,4,65.61,246.8,2022-08-27 23:24:56,2023-09-17 23:24:56,Yes,0.818,Competitor offer
100074,Male,1,No,No,Chennai,DSL,No,No,No,No,Yes,One year,Yes,Mailed check,44,48.42,2131.87,2020-02-01 18:13:15,2022-03-05 18:13:15,Yes,0.574,Payment problems
100075,Female,0,No,Yes,Bengaluru North,DSL,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),10,57.48,554.38,2020-04-28 13:13:02,,No,0.354,
100076,Female,0,Yes,No,Bengaluru North,Fiber optic,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,21,80.83,1678.33,2019-08-26 18:04:15,2022-09-02 18:04:15,Yes,0.668,Relocation
100077,Female,0,Yes,Yes,Mumbai,DSL,No,No,No,No,No,Month-to-month,Yes,Electronic check,43,38.83,1680.93,2023-09-27 10:53:28,2026-01-13 00:00:00,Yes,0.87,Service issues
100078,Male,0,Yes,Yes,Delhi,Fiber optic,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,43,88.17,3789.82,2019-05-29 02:35:34,2020-04-14 02:35:34,Yes,0.668,Relocation
100079,Female,0,Yes,No,Mumbai,None,No,No,No,No,No,Two year,No,Electronic check,48,24.72,1171.47,2023-11-19 22:27:34,2026-01-13 00:00:00,Yes,0.5,Service issues
100080,Male,0,No,No,Hyderabad,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),54,87.1,4705.47,2024-01-07 03:55:00,2025-02-01 03:55:00,Yes,0.75,Service issues
100081,Female,0,No,No,Bengaluru South,DSL,No,No,No,No,Yes,One year,No,Electronic check,16,50.52,817.99,2025-07-14 17:18:58,2026-01-13 00:00:00,Yes,0.69,Competitor offer
100082,Male,0,Yes,No,Hyderabad,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,52,75.89,3933.02,2019-09-30 12:44:41,,No,0.818,
100083,Female,0,Yes,No,Kolkata,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,64,79.33,5091.0,2021-04-09 22:29:12,2025-12-25 22:29:12,Yes,0.769,Relocation
100084,Male,0,Yes,No,Bengaluru North,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,14,92.99,1298.99,2021-06-04 08:04:13,,No,0.354,
100085,Male,0,Yes,No,Hyderabad,Fiber optic,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),15,85.59,1302.75,2019-10-31 03:23:47,2023-11-08 03:23:47,Yes,0.769,Competitor offer
100086,Female,0,No,No,Jaipur,DSL,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,12,65.46,791.0,2020-04-14 18:50:33,,No,0.668,
100087,Male,0,Yes,No,Bengaluru South,None,No,No,No,No,No,Month-to-month,No,Credit card (automatic),34,19.9,629.36,2024-10-27 12:54:45,2026-01-13 00:00:00,Yes,0.802,Relocation
100088,Female,0,No,No,Ahmedabad,Fiber optic,Yes,No,Yes,Yes,No,Two year,No,Electronic check,61,88.29,5400.79,2019-03-02 21:36:18,,No,0.5,
100089,Female,0,Yes,No,Chennai,None,No,No,No,No,No,One year,Yes,Electronic check,8,20.14,176.73,2019-02-01 08:36:52,2023-04-21 08:36:52,Yes,0.668,Service issues
100090,Female,0,Yes,No,Chennai,DSL,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),67,45.96,3050.62,2022-12-04 13:27:27,2025-02-19 13:27:27,Yes,0.786,Competitor offer
100091,Female,0,No,No,Bengaluru North,DSL,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,33,68.46,2248.83,2025-08-15 17:57:46,2026-01-13 00:00:00,Yes,0.5,Service issues
100092,Female,0,No,Yes,Hyderabad,DSL,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),48,66.39,3175.39,2021-04-12 02:34:12,2022-10-03 02:34:12,Yes,0.711,Competitor offer
100093,Female,0,Yes,Yes,Delhi,None,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),53,18.97,988.0,2022-11-24 13:11:19,2023-01-09 13:11:19,Yes,0.786,Relocation
100094,Female,0,No,No,Hyderabad,DSL,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),1,53.62,18.99,2024-08-25 06:20:28,2026-01-13 00:00:00,Yes,0.818,Price too high
100095,Female,0,No,Yes,Kolkata,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52,64.6,3377.39,2019-10-30 03:34:17,2022-08-14 03:34:17,Yes,0.646,Relocation
100096,Female,0,Yes,No,Pune,DSL,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),23,51.13,1188.73,2024-10-20 21:50:44,2025-03-05 21:50:44,Yes,0.802,Relocation
100097,Female,0,No,No,Mumbai,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60,82.04,4944.55,2022-01-13 18:03:59,,No,0.75,
100098,Female,0,No,No,Bengaluru North,None,No,No,No,No,No,One year,Yes,Electronic check,34,20.74,701.55,2025-08-28 13:32:12,2026-01-13 00:00:00,Yes,0.668,Service issues
100099,Male,0,Yes,No,Bengaluru South,Fiber optic,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,23,76.29,1783.85,2022-09-26 01:41:33,2024-06-01 01:41:33,Yes,0.646,Price too high
100100,Male,0,No,Yes,Ahmedabad,Fiber optic,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,64,90.58,5760.13,2023-05-27 01:32:51,2024-12-20 01:32:51,Yes,0.5,Price too high
100101,Female,0,Yes,No,Bengaluru North,None,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),64,19.65,1267.93,2022-04-08 13:50:26,2026-01-13 00:00:00,Yes,0.802,Competitor offer
100102,Female,0,Yes,No,Delhi,DSL,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,27,74.99,2049.47,2021-10-25 15:46:57,2024-04-30 15:46:57,Yes,0.769,Price too high
100103,Female,0,No,Yes,Mumbai,None,No,No,No,No,No,One year,Yes,Electronic check,3,25.15,52.39,2024-12-30 15:08:48,2026-01-13 00:00:00,Yes,0.818,Service issues
100104,Female,0,No,No,Ahmedabad,Fiber optic,No,No,No,Yes,No,One year,Yes,Electronic check,23,67.3,1537.17,2023-03-04 23:49:35,,No,0.668,
100105,Female,0,No,No,Delhi,Fiber optic,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),14,89.63,1221.23,2019-06-03 01:47:33,,No,0.354,
100106,Female,0,Yes,Yes,Jaipur,DSL,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),23,60.76,1416.65,2022-01-20 18:43:28,,No,0.646,
100107,Female,0,Yes,No,Hyderabad,DSL,Yes,No,No,Yes,Yes,Two year,Yes,Mailed check,51,68.78,3485.82,2021-10-29 10:03:40,,No,0.231,
100108,Female,0,No,No,Ahmedabad,DSL,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,64,66.22,4238.14,2025-08-15 11:55:34,,No,0.378,
100109,Male,1,Yes,Yes,Bengaluru North,DSL,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,58,75.08,4343.38,2019-09-12 12:46:12,2020-09-02 12:46:12,Yes,0.426,Price too high
100110,Female,1,No,No,Mumbai,Fiber optic,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),30,94.61,2814.79,2024-12-08 23:19:27,2026-01-13 00:00:00,Yes,0.401,Payment problems
100111,Male,1,No,No,Bengaluru North,DSL,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,70,68.44,4783.0,2024-06-11 01:40:57,,No,0.69,
100112,Female,0,No,Yes,Delhi,DSL,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,10,67.72,685.13,2024-08-21 19:24:45,2026-01-13 00:00:00,Yes,0.786,Relocation
100113,Female,0,Yes,No,Hyderabad,None,No,No,No,No,No,One year,Yes,Mailed check,4,18.18,75.17,2020-01-20 03:15:32,,No,0.711,
100114,Male,0,Yes,Yes,Bengaluru South,None,No,No,No,No,No,Two year,Yes,Electronic check,29,15.0,402.25,2020-07-05 02:14:06,2023-01-04 02:14:06,Yes,0.475,Service issues
100115,Female,0,No,No,Bengaluru North,None,No,No,No,No,No,One year,No,Mailed check,47,17.91,851.48,2023-08-28 15:28:03,2026-01-13 00:00:00,Yes,0.55,Price too high
100116,Male,0,No,Yes,Chennai,Fiber optic,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,55,92.03,5070.17,2022-11-14 09:39:00,2023-01-02 09:39:00,Yes,0.646,Price too high
100117,Female,0,No,Yes,Bengaluru South,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),41,75.41,3118.57,2023-02-19 05:58:21,2024-07-24 05:58:21,Yes,0.786,Competitor offer
100118,Female,0,Yes,No,Delhi,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),10,82.11,793.32,2019-12-26 17:04:16,,No,0.525,
100119,Male,0,No,Yes,Bengaluru North,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,33,76.47,2549.74,2024-11-28 12:14:41,2026-01-13 00:00:00,Yes,0.87,Service issues
100120,Female,0,No,Yes,Hyderabad,DSL,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),47,55.25,2576.79,2021-11-18 16:07:18,2026-01-13 00:00:00,Yes,0.401,Competitor offer
100121,Male,1,Yes,No,Pune,DSL,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),31,52.95,1605.61,2019-06-22 23:25:08,,No,0.231,
100122,Female,0,No,No,Chennai,DSL,Yes,No,No,No,No,Month-to-month,No,Mailed check,22,54.59,1215.8,2020-08-16 12:09:39,,No,0.711,
100123,Male,0,No,No,Mumbai,Fiber optic,Yes,No,No,No,No,One year,No,Electronic check,41,71.83,2960.44,2021-10-23 10:51:39,2024-08-23 10:51:39,Yes,0.574,Relocation
100124,Male,1,Yes,No,Mumbai,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,60,88.56,5335.48,2020-01-19 03:07:41,2022-03-30 03:07:41,Yes,0.891,Service issues
100125,Female,0,Yes,No,Kolkata,Fiber optic,No,Yes,No,Yes,No,One year,Yes,Mailed check,1,79.73,59.44,2022-11-20 20:21:53,2026-01-13 00:00:00,Yes,0.55,Price too high
100126,Female,0,No,No,Hyderabad,DSL,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,44,74.53,3259.61,2024-10-08 11:48:33,,No,0.214,
100127,Male,0,No,No,Chennai,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,49,63.09,3077.55,2019-10-16 01:38:56,2021-11-18 01:38:56,Yes,0.802,Price too high
100128,Female,0,No,Yes,Chennai,Fiber optic,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,8,100.75,802.37,2020-12-19 01:11:34,,No,0.31,
100129,Female,1,Yes,Yes,Bengaluru North,Fiber optic,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),35,71.57,2526.04,2021-03-07 07:57:02,2025-01-27 07:57:02,Yes,0.818,Competitor offer
100130,Female,0,Yes,No,Ahmedabad,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),17,93.05,1556.04,2021-05-24 13:46:07,,No,0.646,
100131,Male,0,No,No,Kolkata,DSL,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),63,68.49,4324.26,2025-04-08 17:24:31,,No,0.426,
100132,Male,0,No,No,Chennai,Fiber optic,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64,66.06,4234.92,2024-10-20 15:22:30,2026-01-13 00:00:00,Yes,0.786,Relocation
100133,Male,0,Yes,No,Ahmedabad,None,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59,19.44,1135.61,2025-06-21 17:26:16,2026-01-13 00:00:00,Yes,0.802,Relocation
100134,Male,1,No,Yes,Bengaluru South,None,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33,16.33,558.07,2021-04-08 10:04:25,2024-01-12 10:04:25,Yes,0.818,Service issues
100135,Male,0,Yes,Yes,Hyderabad,DSL,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),67,58.71,3963.54,2023-03-03 07:55:51,2026-01-13 00:00:00,Yes,0.668,Relocation
