,CustomerID,Gender,SeniorCitizen,Partner,Dependents,Region,InternetService,OnlineSecurity,TechSupport,OnlineBackup,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TenureMonths,MonthlyCharges,TotalCharges,AccountStartDate,AccountEndDate,Churn,ChurnProbability,ChurnReason
42,100042,0,0,1,0,4,0,0,1,0,1,1,0,1,1,0,69.36,0.0,8593,3755,1,0.802,0
43,100043,0,0,0,1,0,1,0,0,0,0,1,0,1,0,53,67.63,3576.86,2415,3641,1,0.786,2
44,100044,0,0,0,1,1,2,0,0,0,0,0,0,1,2,49,22.73,1130.1,2504,1577,1,0.87,0
45,100045,0,0,0,1,8,1,0,1,0,0,0,0,1,2,71,75.32,5334.52,8349,4270,1,0.769,3
46,100046,0,0,1,1,4,1,1,1,0,1,1,0,1,1,60,97.54,5839.39,6715,4271,0,0.646,5
47,100047,1,0,1,0,1,2,0,0,0,0,0,0,1,1,62,18.65,1177.98,2034,500,1,0.786,1
48,100048,0,0,1,1,1,1,1,1,0,0,1,1,0,2,34,98.34,3362.36,591,794,1,0.525,0
49,100049,0,0,0,0,4,2,0,0,0,0,0,0,0,0,23,23.28,527.37,9279,4271,0,0.802,5
50,100050,1,0,0,0,6,0,0,1,0,1,1,1,0,3,2,67.5,123.16,2201,841,1,0.574,4
51,100051,0,0,0,0,0,1,0,0,1,0,1,2,0,1,39,78.84,3036.49,5478,4271,0,0.354,5
52,100052,1,0,1,0,4,0,1,1,0,0,1,2,1,0,9,70.71,641.39,6534,4271,0,0.13,5
53,100053,0,0,0,1,1,1,0,1,0,1,1,0,0,2,34,89.3,3027.36,9409,4270,1,0.858,4
54,100054,1,0,0,0,2,0,0,1,0,0,1,0,1,0,49,51.16,2552.53,4520,3051,1,0.646,3
55,100055,0,0,0,1,4,0,1,1,0,0,1,2,1,3,40,69.94,2813.47,7701,4270,1,0.13,3
56,100056,0,0,1,0,2,0,0,1,1,0,0,0,1,2,35,62.14,2203.52,7169,4270,1,0.769,1
57,100057,1,0,0,1,1,0,1,0,0,0,1,0,1,0,44,58.6,2555.04,8587,4270,1,0.69,4
58,100058,1,0,1,0,5,0,0,0,0,1,0,0,1,1,41,47.48,1956.3,4885,4270,1,0.786,2
59,100059,1,0,1,1,3,1,1,1,1,0,0,0,1,1,13,85.49,1112.53,7149,4271,0,0.646,5
60,100060,1,1,1,1,8,0,1,1,0,0,0,1,1,0,23,62.41,1422.19,2515,4271,0,0.289,5
61,100061,1,1,1,0,7,1,0,0,0,0,0,0,1,2,48,70.34,3366.51,4347,4271,0,0.891,5
62,100062,1,0,1,0,7,0,1,0,0,0,0,0,1,2,8,53.7,379.33,5894,3989,1,0.802,2
63,100063,1,0,1,1,9,0,1,1,1,1,1,0,1,0,44,79.36,3522.0,2045,4271,0,0.525,5
64,100064,1,0,1,0,1,2,0,0,0,0,0,2,1,2,70,23.28,1587.33,8201,4271,0,0.475,5
65,100065,0,0,0,1,0,1,1,0,0,0,0,0,0,0,63,72.17,4549.14,5105,4270,1,0.711,0
66,100066,0,0,1,1,5,1,0,0,1,0,1,1,1,2,41,72.97,3007.71,4177,2988,1,0.668,0
67,100067,1,0,0,0,2,1,0,0,1,0,1,1,0,2,42,74.77,3171.61,6873,4270,1,0.69,2
68,100068,0,1,1,0,3,0,0,1,0,0,1,2,1,2,34,62.96,2182.02,7246,4271,0,0.354,5
69,100069,0,0,0,0,4,0,0,0,1,1,0,1,1,2,53,54.57,2908.49,9766,4270,1,0.668,0
70,100070,0,0,0,1,3,1,0,1,0,0,0,0,1,0,47,77.06,3630.3,8731,4270,1,0.646,2
71,100071,0,0,1,1,4,1,0,0,1,1,0,0,1,3,49,82.63,4087.84,6433,2343,1,0.858,3
72,100072,1,0,0,0,4,2,0,0,0,0,0,1,0,2,54,24.29,1301.45,8679,4271,0,0.69,5
73,100073,0,0,1,1,5,0,1,1,1,0,0,0,1,2,4,65.61,246.8,5192,2195,1,0.818,0
74,100074,1,1,0,0,3,0,0,0,0,0,1,1,1,3,44,48.42,2131.87,1582,985,1,0.574,1
75,100075,0,0,0,1,1,0,0,0,1,1,1,2,0,1,10,57.48,554.38,1911,4271,0,0.354,5
76,100076,0,0,1,0,1,1,1,1,0,0,0,0,0,3,21,80.83,1678.33,896,1333,1,0.668,3
77,100077,0,0,1,1,8,0,0,0,0,0,0,0,1,2,43,38.83,1680.93,6793,4270,1,0.87,4
78,100078,1,0,1,1,4,1,1,1,1,0,0,0,0,3,43,88.17,3789.82,558,145,1,0.668,3
79,100079,0,0,1,0,8,2,0,0,0,0,0,2,0,2,48,24.72,1171.47,7009,4270,1,0.5,4
80,100080,1,0,0,0,5,1,0,1,1,0,1,0,1,1,54,87.1,4705.47,7200,3436,1,0.75,4
81,100081,0,0,0,0,2,0,0,0,0,0,1,1,0,2,16,50.52,817.99,9336,4270,1,0.69,0
82,100082,1,0,1,0,5,0,1,0,1,1,1,0,0,2,52,75.89,3933.02,1049,4271,0,0.818,5
83,100083,0,0,1,0,7,1,0,1,0,1,0,0,1,2,64,79.33,5091.0,3283,4225,1,0.769,3
84,100084,1,0,1,0,1,1,1,1,1,0,1,1,1,3,14,92.99,1298.99,3490,4271,0,0.354,5
85,100085,1,0,1,0,5,1,0,1,1,1,0,0,0,0,15,85.59,1302.75,1190,2327,1,0.769,0
86,100086,0,0,0,0,6,0,0,1,0,1,1,0,0,3,12,65.46,791.0,1852,4271,0,0.668,5
87,100087,1,0,1,0,2,2,0,0,0,0,0,0,0,1,34,19.9,629.36,8329,4270,1,0.802,3
88,100088,0,0,0,0,0,1,1,0,1,1,0,2,0,2,61,88.29,5400.79,257,4271,0,0.5,5
89,100089,0,0,1,0,3,2,0,0,0,0,0,1,1,2,8,20.14,176.73,122,1818,1,0.668,4
90,100090,0,0,1,0,3,0,0,0,1,0,0,0,1,0,67,45.96,3050.62,5584,3477,1,0.786,0
91,100091,0,0,0,0,1,0,0,1,0,1,1,1,1,2,33,68.46,2248.83,9448,4270,1,0.5,4
92,100092,0,0,0,1,5,0,1,0,1,1,0,0,0,1,48,66.39,3175.39,3294,1390,1,0.711,0
93,100093,0,0,1,1,4,2,0,0,0,0,0,0,1,1,53,18.97,988.0,5543,1604,1,0.786,3
94,100094,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,53.62,18.99,8081,4270,1,0.818,2
95,100095,0,0,0,1,7,0,0,1,0,0,1,0,1,0,52,64.6,3377.39,1187,1291,1,0.646,3
96,100096,0,0,1,0,9,0,0,0,0,0,1,0,0,0,23,51.13,1188.73,8303,3514,1,0.802,3
97,100097,0,0,0,0,8,1,0,1,0,1,0,0,1,0,60,82.04,4944.55,4337,4271,0,0.75,5
98,100098,0,0,0,0,1,2,0,0,0,0,0,1,1,2,34,20.74,701.55,9493,4270,1,0.668,4
99,100099,1,0,1,0,2,1,0,1,0,1,0,0,1,3,23,76.29,1783.85,5297,2865,1,0.646,2
100,100100,1,0,0,1,0,1,1,1,1,1,0,1,1,2,64,90.58,5760.13,6319,3327,1,0.5,2
101,100101,0,0,1,0,1,2,0,0,0,0,0,0,0,0,64,19.65,1267.93,4654,4270,1,0.802,0
102,100102,0,0,1,0,4,0,0,1,1,1,1,0,1,2,27,74.99,2049.47,4047,2790,1,0.769,2
103,100103,0,0,0,1,8,2,0,0,0,0,0,1,1,2,3,25.15,52.39,8577,4270,1,0.818,4
104,100104,0,0,0,0,0,1,0,0,0,1,0,1,1,2,23,67.3,1537.17,5982,4271,0,0.668,5
105,100105,0,0,0,0,4,1,1,1,1,0,1,1,1,1,14,89.63,1221.23,575,4271,0,0.354,5
106,100106,0,0,1,1,6,0,0,1,0,1,0,0,1,0,23,60.76,1416.65,4369,4271,0,0.646,5
107,100107,0,0,1,0,5,0,1,0,0,1,1,2,1,3,51,68.78,3485.82,4068,4271,0,0.231,5
108,100108,0,0,0,0,0,0,1,1,0,1,0,1,1,2,64,66.22,4238.14,9447,4271,0,0.378,5
109,100109,1,1,1,1,1,0,1,1,1,0,1,1,1,2,58,75.08,4343.38,971,263,1,0.426,2
110,100110,0,1,0,0,8,1,1,0,1,1,1,2,0,0,30,94.61,2814.79,8488,4270,1,0.401,1
111,100111,1,1,0,0,1,0,0,1,1,0,1,0,1,3,70,68.44,4783.0,7804,4271,0,0.69,5
112,100112,0,0,0,1,4,0,0,1,0,1,0,0,0,2,10,67.72,685.13,8070,4270,1,0.786,3
113,100113,0,0,1,0,5,2,0,0,0,0,0,1,1,3,4,18.18,75.17,1530,4271,0,0.711,5
114,100114,1,0,1,1,2,2,0,0,0,0,0,2,1,2,29,15.0,402.25,2199,1588,1,0.475,4
115,100115,0,0,0,0,1,2,0,0,0,0,0,1,0,3,47,17.91,851.48,6679,4270,1,0.55,2
116,100116,1,0,0,1,3,1,1,1,0,1,0,0,1,3,55,92.03,5070.17,5501,1583,1,0.646,2
117,100117,0,0,0,1,2,1,0,0,0,1,0,0,1,1,41,75.41,3118.57,5930,2969,1,0.786,0
118,100118,0,0,1,0,4,1,1,0,0,1,1,1,1,1,10,82.11,793.32,1419,4271,0,0.525,5
119,100119,1,0,0,1,1,1,0,0,0,1,0,0,1,2,33,76.47,2549.74,8450,4270,1,0.87,4
120,100120,0,0,0,1,5,0,1,0,0,0,1,1,1,0,47,55.25,2576.79,4134,4270,1,0.401,0
121,100121,1,1,1,0,9,0,0,1,0,0,0,2,1,1,31,52.95,1605.61,662,4271,0,0.231,5
122,100122,0,0,0,0,3,0,1,0,0,0,0,0,0,3,22,54.59,1215.8,2336,4271,0,0.711,5
123,100123,1,0,0,0,8,1,1,0,0,0,0,1,0,2,41,71.83,2960.44,4037,3036,1,0.574,3
124,100124,1,1,1,0,8,1,1,0,0,1,1,0,1,2,60,88.56,5335.48,1526,1033,1,0.891,4
125,100125,0,0,1,0,7,1,0,1,0,1,0,1,1,3,1,79.73,59.44,5522,4270,1,0.55,2
126,100126,0,0,0,0,5,0,1,1,1,1,0,2,1,2,44,74.53,3259.61,8255,4271,0,0.214,5
127,100127,1,0,0,0,3,0,1,0,0,1,1,0,1,2,49,63.09,3077.55,1117,817,1,0.802,2
128,100128,0,0,0,1,3,1,1,1,0,1,1,2,1,2,8,100.75,802.37,2853,4271,0,0.31,5
129,100129,0,1,1,1,1,1,0,0,0,0,1,0,1,1,35,71.57,2526.04,3136,3426,1,0.818,0
130,100130,0,0,1,0,0,1,1,1,1,0,1,0,1,1,17,93.05,1556.04,3445,4271,0,0.646,5
131,100131,1,0,0,0,7,0,1,0,0,1,1,1,0,1,63,68.49,4324.26,8971,4271,0,0.426,5
132,100132,1,0,0,0,3,1,0,0,1,0,0,0,1,1,64,66.06,4234.92,8302,4270,1,0.786,3
133,100133,1,0,1,0,0,2,0,0,0,0,0,0,0,0,59,19.44,1135.61,9243,4270,1,0.802,3
134,100134,1,1,0,1,2,2,0,0,0,0,0,0,1,0,33,16.33,558.07,3277,2507,1,0.818,4
135,100135,1,0,1,1,5,0,0,1,0,0,1,0,0,1,67,58.71,3963.54,5977,4270,1,0.668,3
136,100136,1,0,1,0,6,1,1,0,1,1,0,1,1,1,69,84.8,5878.89,503,1661,1,0.525,4
137,100137,1,0,1,0,8,0,0,1,1,1,0,0,1,3,23,67.46,1547.53,4506,2494,1,0.646,0
138,100138,1,0,1,1,1,1,1,0,0,1,0,1,1,2,31,78.46,2444.55,5264,4270,1,0.55,4
139,100139,1,1,0,0,5,1,0,0,0,0,0,0,1,2,27,64.1,1723.97,8506,4270,1,0.891,4
140,100140,0,0,0,1,1,0,0,0,1,1,0,0,0,0,60,59.2,3544.31,7086,3857,1,0.802,2
141,100141,1,0,0,0,0,1,1,0,1,1,1,0,1,2,22,91.17,1999.7,4603,4270,1,0.87,0
142,100142,0,0,0,0,1,1,1,1,1,1,0,0,0,0,38,91.8,3461.57,7772,4271,0,0.668,5
143,100143,0,0,1,0,5,2,0,0,0,0,0,1,1,1,40,21.28,821.75,3312,4271,0,0.525,5
144,100144,0,0,0,1,4,0,0,0,0,0,1,0,1,2,0,52.07,0.0,8760,4270,1,0.937,4
145,100145,1,1,0,1,2,0,1,1,0,1,1,0,1,2,35,75.69,2660.04,7581,4271,0,0.711,5
146,100146,1,0,0,1,0,1,0,0,0,1,1,1,1,1,29,82.47,2412.81,7845,4271,0,0.646,5
147,100147,1,1,0,0,5,1,0,0,0,0,1,0,1,3,14,70.68,949.97,9072,4271,0,0.818,5
148,100148,1,0,0,1,8,1,1,0,0,1,0,0,1,2,38,82.02,3098.09,1055,2756,1,0.87,4
149,100149,0,0,1,1,8,2,0,0,0,0,0,2,1,2,20,15.0,261.19,3614,4271,0,0.475,5
150,100150,1,0,0,0,5,1,1,1,0,1,0,0,0,1,32,88.1,2815.28,3558,2928,1,0.668,4
151,100151,1,0,0,0,7,1,0,0,1,1,0,1,1,3,26,77.17,2008.6,6847,2874,1,0.525,0
152,100152,1,1,0,0,5,2,0,0,0,0,0,1,1,0,24,19.54,467.01,1156,4271,0,0.574,5
153,100153,1,0,1,0,3,1,0,0,1,0,1,0,1,2,47,74.8,3553.02,1074,437,1,0.87,3
154,100154,1,0,0,0,2,0,0,1,0,1,0,0,1,3,44,56.41,2451.46,1036,2846,1,0.646,2
155,100155,0,0,0,0,0,1,0,1,0,1,0,0,1,0,31,79.2,2419.28,1742,498,1,0.646,3
156,100156,1,0,1,0,5,1,0,1,0,1,1,0,0,2,56,86.45,4820.27,5848,4270,1,0.858,2
157,100157,0,0,0,1,9,0,0,1,0,1,1,2,1,2,1,68.59,58.67,4551,2200,1,0.5,4
158,100158,1,0,1,0,9,0,0,1,0,1,0,0,1,3,10,64.0,674.48,2224,4271,0,0.646,5
159,100159,0,0,1,0,9,0,0,1,0,0,1,0,1,3,66,57.72,3823.64,318,4271,0,0.646,5
160,100160,1,0,1,0,7,0,0,1,0,1,1,0,1,2,24,68.95,1651.22,4315,4270,1,0.769,3
161,100161,1,0,0,0,5,2,0,0,0,0,0,1,0,3,55,18.23,1029.75,9159,4270,1,0.55,2
162,100162,0,0,1,0,0,0,1,1,1,1,1,1,1,3,41,83.04,3400.93,2102,4271,0,0.354,5
163,100163,0,0,0,1,9,0,1,1,1,1,0,1,1,2,24,76.98,1835.85,6321,4271,0,0.378,5
164,100164,0,0,1,0,3,1,0,1,1,0,0,0,1,2,35,81.0,2838.89,6425,3164,1,0.846,4
165,100165,1,1,1,0,0,1,0,1,0,1,1,1,1,2,55,89.58,4896.54,7579,4270,1,0.668,1
166,100166,0,0,1,0,2,1,0,0,1,0,0,1,1,1,41,63.34,2574.17,1312,4271,0,0.525,5
167,100167,1,0,1,1,4,0,0,1,0,0,0,2,0,2,18,52.5,984.73,8544,4270,1,0.332,0
168,100168,1,0,0,0,3,2,0,0,0,0,0,0,1,1,44,22.69,1010.47,570,24,1,0.786,3
169,100169,0,0,0,1,0,1,0,1,0,1,0,0,1,3,64,86.42,5548.18,1607,4271,0,0.75,5
170,100170,0,0,1,1,1,1,0,0,1,0,0,0,1,1,7,72.63,498.36,9654,4270,1,0.786,4
171,100171,1,0,1,1,2,1,0,0,1,0,0,1,0,2,27,71.75,1932.87,7524,4270,1,0.69,0
172,100172,1,0,0,1,2,0,0,0,0,1,0,2,0,2,23,52.28,1238.04,6401,4270,1,0.5,4
173,100173,0,0,1,0,8,2,0,0,0,0,0,1,1,2,67,18.65,1227.03,8591,4271,0,0.668,5
174,100174,0,0,0,0,8,1,0,1,0,0,1,1,0,2,63,85.55,5395.72,4148,4270,1,0.646,0
175,100175,0,0,0,0,3,2,0,0,0,0,0,0,0,2,17,21.58,393.44,5,86,1,0.881,1
176,100176,1,1,1,0,0,0,0,1,0,1,0,0,0,0,14,60.39,820.83,263,1141,1,0.711,2
177,100177,1,0,1,0,3,2,0,0,0,0,0,0,1,1,52,20.9,1066.7,8191,4270,1,0.786,1
178,100178,1,0,0,0,2,1,1,0,0,1,1,0,1,2,42,87.8,3669.61,3732,4271,0,0.87,5
179,100179,1,1,1,0,0,1,0,1,0,1,0,1,1,2,47,82.25,3864.83,8309,4271,0,0.668,5
180,100180,1,0,1,0,3,1,0,0,0,1,0,1,1,0,7,74.26,516.13,9612,4270,1,0.525,4
181,100181,1,0,1,0,2,2,0,0,0,0,0,0,1,3,64,16.38,1031.72,5582,3127,1,0.786,2
182,100182,0,0,0,0,8,1,0,1,0,1,1,0,1,2,11,84.42,933.98,4378,4270,1,0.846,0
183,100183,1,1,0,0,7,1,0,1,0,0,0,0,1,2,15,77.59,1154.5,6163,4270,1,0.802,3
184,100184,1,0,1,1,5,1,0,1,0,0,0,2,1,1,33,71.77,2360.81,3321,4271,0,0.198,5
185,100185,1,1,0,0,3,0,1,0,0,1,0,2,1,2,15,59.34,918.2,6574,4271,0,0.401,5
186,100186,0,0,1,0,1,0,0,0,0,0,1,0,1,2,53,53.22,2824.32,8348,4270,1,0.87,2
187,100187,1,0,0,0,7,1,0,1,0,0,1,0,1,1,20,81.07,1634.89,7038,4270,1,0.75,3
188,100188,1,1,1,1,8,0,0,0,1,0,1,1,0,2,63,57.44,3623.06,6325,2189,1,0.731,4
189,100189,0,0,0,0,7,1,0,0,1,1,1,0,1,1,37,82.24,3026.37,5791,2089,1,0.858,3
190,100190,1,0,0,0,3,1,0,0,0,0,0,1,0,1,56,70.04,3921.51,652,2253,1,0.55,3
191,100191,1,0,1,0,8,1,1,1,0,0,0,1,1,0,15,84.11,1243.4,8909,4271,0,0.354,5
192,100192,1,0,1,1,2,0,1,0,0,1,1,0,0,3,48,67.13,3223.01,5768,4271,0,0.711,5
193,100193,1,1,1,1,1,1,1,0,0,0,1,0,0,1,34,87.36,2995.76,3137,4271,0,0.832,5
194,100194,1,0,1,0,2,1,0,1,1,0,0,0,1,1,24,77.14,1820.64,1799,724,1,0.646,0
195,100195,0,0,1,0,2,1,0,0,0,1,0,0,0,0,43,73.52,3145.72,7968,4270,1,0.802,0
196,100196,0,0,0,1,3,0,0,0,0,0,1,2,1,0,23,52.57,1228.89,9000,4271,0,0.332,5
197,100197,0,0,0,1,3,0,1,0,1,0,0,0,0,1,3,59.14,169.78,3984,4271,0,0.846,5
198,100198,1,0,1,0,3,1,1,1,0,1,0,0,1,2,69,89.9,6178.63,5638,4270,1,0.769,0
199,100199,1,0,0,0,3,1,1,0,0,0,1,1,1,3,13,88.3,1112.29,2900,3226,1,0.525,1
200,100200,1,0,0,0,7,0,0,1,0,1,0,1,1,1,66,62.17,4093.03,1669,4271,0,0.354,5
201,100201,0,1,0,0,0,1,0,0,1,1,0,0,1,1,33,78.4,2589.25,5410,3044,1,0.818,0
202,100202,1,0,1,0,2,2,0,0,0,0,0,0,1,1,1,17.42,36.54,940,4271,0,0.891,5
203,100203,1,0,1,1,3,0,1,1,0,1,1,0,0,0,6,74.74,474.78,8175,4270,1,0.55,3
204,100204,0,1,0,0,1,1,0,0,1,1,1,0,1,2,34,85.5,2898.78,5611,4270,1,0.931,4
205,100205,1,0,1,1,1,2,0,0,0,0,0,2,0,0,22,19.13,431.83,2979,4271,0,0.354,5
206,100206,0,0,0,0,5,2,0,0,0,0,0,0,1,1,24,21.98,535.09,7681,3609,1,0.786,1
207,100207,0,0,0,1,4,0,0,0,1,0,1,1,0,3,67,56.47,3783.19,1423,106,1,0.55,2
208,100208,0,1,1,0,7,0,1,0,0,0,1,1,1,2,6,58.06,385.55,3688,4270,1,0.599,4
209,100209,1,0,1,0,4,2,0,0,0,0,0,0,0,2,17,15.0,176.02,1245,4271,0,0.881,5
210,100210,1,1,0,1,1,0,0,0,0,1,1,0,1,2,56,62.91,3474.8,3765,1878,1,0.891,3
211,100211,1,0,0,1,0,1,1,0,0,1,0,0,0,0,53,79.07,4182.53,2390,1087,1,0.711,3
212,100212,1,0,0,1,1,1,0,1,0,0,0,0,1,2,53,73.33,3896.78,8931,4270,1,0.769,4
213,100213,1,0,1,0,2,1,0,1,1,1,1,1,1,0,15,95.58,1479.92,1599,4271,0,0.475,5
214,100214,1,0,0,1,8,0,0,0,1,1,0,0,1,0,10,55.21,551.34,5077,4271,0,0.786,5
215,100215,1,0,0,1,6,2,0,0,0,0,0,0,1,2,1,24.97,35.36,5380,2139,1,0.937,4
216,100216,0,0,0,0,4,0,1,1,1,0,1,0,1,3,44,75.31,3313.15,6799,4270,1,0.525,3
217,100217,1,0,1,0,9,1,1,1,0,1,1,0,1,1,51,99.61,5102.07,9321,4270,1,0.646,2
218,100218,0,0,1,1,7,1,0,1,0,1,0,2,1,0,39,83.77,3249.16,6862,4271,0,0.289,5
219,100219,1,0,1,0,3,0,1,0,0,0,0,0,0,3,69,55.37,3818.76,6826,4271,0,0.711,5
220,100220,1,0,0,0,7,0,1,1,1,0,0,1,1,0,39,65.58,2527.04,1898,2959,1,0.25,4
221,100221,1,0,0,0,4,2,0,0,0,0,0,0,0,2,27,16.82,439.24,5792,4270,1,0.881,2
222,100222,0,0,0,1,6,1,1,0,0,0,1,2,1,2,24,82.92,1963.17,8199,4271,0,0.475,5
223,100223,0,0,0,0,7,1,0,1,0,1,1,0,0,2,39,83.36,3236.17,6398,3275,1,0.858,1
224,100224,0,0,1,0,4,1,0,1,1,1,0,0,1,2,20,82.15,1637.13,1313,1834,1,0.846,3
225,100225,0,0,1,0,4,0,0,0,0,1,0,0,1,2,50,51.27,2570.1,9776,4270,1,0.87,2
226,100226,1,0,1,0,6,1,0,0,0,1,0,0,1,0,52,71.19,3751.18,5294,4047,1,0.786,0
227,100227,0,1,1,0,5,0,1,1,1,1,1,2,1,0,70,77.31,5437.48,5086,1872,1,0.154,2
228,100228,1,0,0,0,3,1,1,0,0,1,1,0,0,0,10,86.45,876.46,8613,4270,1,0.802,2
229,100229,1,0,0,0,7,0,1,1,0,1,0,0,0,2,10,68.67,638.57,1237,2213,1,0.69,2
230,100230,0,0,1,0,9,1,1,1,0,0,0,0,0,2,59,80.88,4747.61,2580,2699,1,0.786,0
231,100231,0,0,0,1,2,1,0,1,0,0,0,0,0,1,24,74.53,1790.48,3020,3147,1,0.668,3
232,100232,0,0,0,1,8,0,0,1,1,1,0,0,0,0,7,58.99,443.38,9922,4270,1,0.668,3
233,100233,0,0,0,0,9,0,0,1,0,1,0,2,0,3,25,63.65,1585.65,9334,4271,0,0.214,5
234,100234,0,0,1,0,1,0,0,1,1,1,0,0,1,2,7,71.32,511.26,3918,4270,1,0.769,1
235,100235,0,0,0,0,4,2,0,0,0,0,0,0,1,2,9,19.46,142.62,8137,4271,0,0.87,5
236,100236,0,0,1,0,7,0,0,0,0,1,1,0,1,2,60,59.24,3532.28,297,1028,1,0.87,2
